Juergen mange deux pommes
Joris lèche trois glaces
Olivier caresse quatre chats
Nicolas enchaîne cinq pompes
Christine déporte six souliers
Géraldine vends sept casseroles
Eliott vole huit chevaux
Magali retrouve neuf bières
Maëlle repeint dix portes
Rèné sabote onze carrières
Romuald soude douze processeurs
Lucien lave treize crottins
Maxim casse quatorze tables
Basile frappe quinze poissons
Tobie répare seize ascenseurs
Mel commet dix-sept bêtises
Clémentine dégorge dix-huit entonnoirs
Jérôme contient dix-neuf poireaux
Didier enlace vingt déambulateurs
Joël embrasse mille poils
